CONFERENCE_ID,CENTER_ID,CONFERENCE_NAME,CONFERENCE_TIME,CONFERENCE_AMOUNT,CONFERENCE_NUM
1,1,LH남부권주거복지지사 마이홈 스터디룸(5개),매주 월~금(9~12시),무료,1~5명
2,2,강동오랑 스튜디오,최대4시간,무료,최소2명~최대6명
3,2,강동오랑 오랑홀 ,최대4시간,무료,최소10명~최대50명
4,2,강동오랑 강의실,최대4시간,무료,최소8명~최대25명
5,4,영풍문고김포공항점,매일 오전10시 30 ~ 오후10시,무료,
6,5,곰달래도서관 스터디룸,월~금 10:00~17:00,무료,4인실
7,6,커피랑도서관 강서본점 세미나A3,월-금 9시-12시 (한팀당 2시간),무료,4인
8,7,서울청년센터 강서오랑 로비,최대2시간,30000,최소1명~최대30명
9,7,"서울청년센터 강서오랑 스튜디오랑 1, 2 ",최대2시간,10000,최소1명~최대5명
10,7,서울청년센터 강서오랑 회의오랑3,최대2시간,20000,최소1명~최대16명
11,8,비즈액티브 신림 대회의실,수 15:00-18:00,무료,3~12명
12,8,비즈액티브 신림 소회의실,수 15:00-18:00,무료,2~5명
13,9,청년공간 이음 세미나룸,월-금 10:00-21:00 토 10:00-18:00 (최대3시간),시간당 만원,
14,10,관악오랑 모여랑,10~13시/ 14~17시/ 18시~21시,무료,2인~4인
15,10,관악오랑 이루어랑,10~13시/ 14~17시/ 18시~21시 (매주 토요일 대관),무료,4인~10인
16,10,관악오랑 신림동쓰리룸 [서재] 대관,"월 10:00 ~ 18:00, 화 ~ 토 10:00 ~ 22:00 최대4시간",무료,1명
17,10,관악오랑 신림동쓰리룸 2023월 [공방],"월 10:00 ~ 18:00, 화 ~ 토 10:00 ~ 22:00 (최대4시간)",2시간 10000원(초과시간당 5000원),1명
18,10,관악오랑 신림동쓰리룸 [라운지] 대관,"월 10:00 ~ 18:00, 화 ~ 토 10:00 ~ 22:00 (최대4시간)",무료,1명
19,11,서울청년센터광진오랑 모여보소,매주 화 16:00~18:00,무료,10명
20,12,동부여성발전센터 대강당,"평일 09:00~22:00, 토요일 09:00~18:00",30000원(1시간),100명
21,12,"동부여성발전센터 강의실 (1, 2, 3, 4)","평일 09:00~22:00, 토요일 09:00~18:00",15000원(1시간),15명
22,13,청춘삘딩 2층 세미나실,"평일 오전10:00~오후08:00, 토요일 오전 10:00 ~오후 6:00 (최대4시간)",무료,3명~10명
23,13,청춘삘딩 3층 공유주방,"평일 오전10:00~오후08:00, 토요일 오전 10:00 ~오후 6:00 (최대4시간)",무료,3명~6명
24,13,청춘삘딩 다목적 스튜디오,"평일 오전10:00~오후08:00, 토요일 오전 10:00 ~오후 6:00 (최대4시간)",무료,3~6명
25,14,서울청년센터 금천 오랑 회의실,10시 - 22시 / 토요일 10시 - 17시 (최대8시간),"시간당 5,000원",최대 10명
26,14,서울청년센터 금천 오랑 멀티미디어실,10시 - 22시 / 토요일 10시 - 17시 (최대4시간),"시간당 5,000원",1명
27,15,스터디북킹 민간운영 스터디 카페 스터디룸(G1룸),"화요일, 목요일 10:00~18:00",무료,3~6명
28,17,서울청년센터 노원오랑 해보다,최대2시간,무료,1명
29,17,서울청년센터 노원오랑 배우다,최대2시간,무료,최소1명~최대11명
30,17,서울청년센터 노원오랑 함께하다,최대2시간,무료,최소1명~최대6명
31,18,도봉문화정보도서관 문화마루,09:00~22:00 (최대3시간),"50,000 원 3시간당",60 명
32,18,도봉문화정보도서관 나눔터,09:00~22:00 (최대3시간),"30,000 원 3시간당",30 명
33,18,도봉문화정보도서관 배움터,09:00~22:00 (최대3시간),"30,000 원 3시간당",40 명
34,18,도봉문화정보도서관 이음터,09:00~22:00 (최대3시간),"30,000 원 3시간당",12 명
35,19,동대문구답십리도서관 강의실,"월~목 9시~22시, 토~일 9시~18시 (일최대6시간)",유료(1회 3시간 3만원) 및 무료,30여석
36,19,동대문구답십리도서관 상상스튜디오,9시~18시,유료(1회 3시간 3만원) 및 무료,3인실
38,20,한국외국어대학교 대학일자리센터,이용시간 : 평일 9:00~17:00(방학 중 9:00~ 16:00) / 주말·공휴일 휴무,무료,
37,21,손스스터디카페 스터디룸,"화, 목 18:00~22:00",무료,2~6인
39,23,사랑밭청년센터 스터디룸(사랑방),1부-09:00~12/2부-12:00~15:00 / 3부-15:00~18:00 ( 1회 2시간단위),무료,3~15명
40,25,루아흐코워킹스페이스 스터디룸(세미나룸),365일 24시간 연중무휴,무료,6인
41,25,루아흐코워킹스페이스,365일 24시간 연중무휴,무료,
42,26,한겨레교육문화센터 신촌,평일(월-금) 오전 10시~오후 13시(최소 1시간~최대 3시간),무료,8명
43,27,서울창업허브 아이디어룸,"평일 09시 - 21시, 토요일,일요일 09시 - 18시 ","10,000원(유료 또는 조건부 무료)",12명
44,27,서울창업허브 회의실,"평일 09시 - 21시, 토요일,일요일 09시 - 18시 ","10,000원(유료 또는 조건부 무료)",17명
45,27,서울창업허브 세미나룸,"평일 09시 - 21시, 토요일,일요일 09시 - 18시 ","20,000원",72명
46,27,서울창업허브 대강당,"평일 09시 - 21시, 토요일,일요일 09시 - 18시 ","60,000원",200명
47,28,청년문화공간 JU동교동 다리소극장,"오전 - 09:00~13:00(4H) , 오후 - 13:00~18:00(5H) , 야간 - 18:00~22:00(4H), 철야 - 22:00~03:00(5H)","420,000원",200명
48,28,청년문화공간 JU동교동 연습실,월-금 09:00-18:00,"38,000원(1시간)",12명
49,28,청년문화공간 JU동교동 카페,월-금 09:00-18:00,"320,000원(3시간)",60명
50,28,청년문화공간 JU동교동 니콜라오홀(대강당),월-금 09:00-18:00,"420,000원(3시간)",180~200명
51,28,청년문화공간 JU동교동 바실리오홀(전체),월-금 09:00-18:00,"178,000원(2시간)",100명
52,28,청년문화공간 JU동교동 모임방,월-금 09:00-18:00,"68,000원(2시간)",30명
53,29,마포오랑 모여랑,"평  일 10-22시, 토요일 10-17시",무료,2~4인
54,29,마포오랑 이루어랑,"평  일 10-22시, 토요일 10-17시",무료,2~8인
55,29,마포오랑 연결해랑,"평  일 10-22시, 토요일 10-17시",무료,1인미디어실
56,31,마포청년나루 보일락-미디어스튜디오,1일 최대 4시간,무료,최소1명~최대8명
57,31,마포청년나루 오르락-강의실,1일 최대 4시간,무료,최소1명~최대20명
58,31,마포청년나루 말락-상담실,1일 최대 4시간 ,무료,최소1명~최대4명
59,31,슈퍼스타트 이대점 강의장,9~12시,무료,7~16명
60,32,서대문구 일자리카페 (꿈꾸는 반지하),10~4시 (최대2시간),무료,1~10명 이상
61,33,신촌문화발전소 스튜디오창,오전 10시 ~ 오후 9시 (최대2시간),무료,최대 25명
62,33,신촌문화발전소 공연장,"10:00~12:00, 13:00~17:00, 18:00~22:00","30000, 60000, 78000",약 60명
63,34,서울청년센터 서초오랑 - 스튜디오2,"월~금 10:00~12:00, 13:00~15:00. 15:00~17:00, 17:00~19:00, 19:00~21:00 (12:00~13:00 방역), 토 10:00~12:00, 12:00~14:00, 14:00~16:00, 1회 2시간",10000원(2시간기준),1팀(2~4인)
64,34,2023년 서울청년센터 서초오랑 - 스터디룸5,"월~금 10:00~12:00, 13:00~15:00. 15:00~17:00, 17:00~19:00, 19:00~21:00 (12:00~13:00 방역), 토 10:00~12:00, 12:00~14:00, 14:00~16:00, 1회 2시간","10,000원(2시간 기준)",1팀(4~6인)
65,35,성동구립도서관 스터디룸 OR 세미나룸,평일 09시~18시,무료,3~4명
66,35,성동구립도서관 일반열람식,평일 09시~18시,무료,132석
67,36,성수지앵스 수다카페 스터디룸,"화, 목, 금 (13:00~18:00)",무료,3~4명
68,37,성동구 일자리카페 스터디룸,평일 09시~18시 (최대2시간),무료,4인
69,38,소셜 캠퍼스 온(溫)서울 회의실,월~토 07~23시,무료,최대 30명
70,39,장안평자동차산업종합정보센터 스터디룸(3층 상담실),월~금 10:00~17:00,무료,1~8명
71,40,성동오랑 5층 1인미디어실,최대3시간,무료,1명
72,40,성동오랑 4층 공유공간,"월 ~ 금 10:00~21:40, 토 10:00~17:00 (제한시간없음)",무료,10명~30명
73,40,성동오랑 5층 회의실(2인~8인),"월 ~ 금 10:00~21:40, 토 10:00~17:00 (최대3시간)",무료,1 ~ 8 팀
74,42,서경대학교 CLC Zone 1번방,"월-금(학기) 13:00-17:00(공휴일 제외), 월-금(방학) 10:00-15:00(공휴일 제외)",무료,8~10명
75,43,성신여자대학교 대학일자리센터 스터디룸,평일 09시~18시,무료,4인
76,43,성신여자대학교 대학일자리센터 강의실,평일 09시~18시,무료,40인
77,44,성북구 일자리카페 (더스터디) 스터디홀,"화, 수 8:00~11:00(3시간)",무료,43석
78,44,성북구 일자리카페 (더스터디) 스터디룸 4인실 4개,"화, 수 8:00~11:00(3시간)",무료,4인
79,44,성북구 일자리카페 (더스터디) 스터디룸 6인실 2개,"화, 수 8:00~11:00(3시간)",무료,6인
80,44,성북구 일자리카페 (더스터디) 스터디룸 10인실,"화, 수 8:00~11:00(3시간)",무료,10인
81,45,카페머그 소규모 스터디룸,오전 9시 ~ 오후 6시,무료,최대15명
82,45,카페머그 대형 거실,오전 9시 ~ 오후 6시,무료,최대40명
83,46,국민대학교 경력개발지원단 잡카페 세미나룸,월-금 09:00-17:00,무료,3~4명
84,48,커피랑도서관 가락1호점 세미나룸AA-1,월~금 09:00~16:00(최대2시간이용가능),무료,2~3인
85,49,커피랑도서관 가락센터점 스터디룸,월-금 09:00 ~ 16:00,무료,최소 2명~최대 4명
86,50,"커피랑도서관 마천사거리점 세미나룸A1, A2",월-금 09:00~16:00 (최대2시간),무료,최소 2명~최대 4명
87,51,창업디딤누리미디어편집실,09시~17시,무료,
88,51,창업디딤누리제품촬영스튜디오,09시~18시,무료,
89,51,창업디딤누리크리에이터실(영상촬영실),09시~18시,무료,
91,53,피치스터디카페,월~금 10:00~17:00 (최대2시간),무료,4인실
92,54,[서울청년센터 영등포오랑] 마주포랑2,평일 10:00~21:00 토요일 10:00~17:00,무료,최대6명
93,54,[서울청년센터 영등포오랑] 배움포랑1,평일 10:00~21:00 토요일 10:00~17:00,무료,최대 20명
94,54,[서울청년센터 영등포오랑] 배움포랑2,평일 10:00~21:00 토요일 10:00~17:00,무료,최대 20명
95,54,[서울청년센터 영등포오랑] 영상포랑,평일 10:00~21:00 토요일 10:00~17:00,무료,최대 3명
96,54,[서울청년센터 영등포오랑] 라디오포랑,평일 10:00~21:00 토요일 10:00~17:00,무료,최대 4명
98,56,용산전자상상가,"화요일 13시~19시, 목요일 13시~19시",무료,6인
99,56,창업디딤누리회의실,09시~18시,무료,4인~10인
100,57,서울혁신센터 미래청 모두모임방,"실내 월~금 09:00~18:00, 실외 월~토 09:00~18:00",1시간당43000원,2~60명
101,57,서울혁신센터 미래청 영상스튜디오,"실내 월~금 09:00~18:00, 실외 월~토 09:00~18:00",1시간당17000원,2~10명
102,57,서울혁신센터 미래청 공유동 다목적홀,"실내 월~금 09:00~18:00, 실외 월~토 09:00~18:00",1시간당72000원,2~100명
103,57,서울혁신센터 미래청 공유동 야외공간 피아노숲,"실내 월~금 09:00~18:00, 실외 월~토 09:00~18:00",1시간당72000원,1~300명
104,58,서울청년센터 은평 오랑_빌려방B,"월~금 10:00-21:00 / 토 10:00-17:00 (공휴일, 일요일 휴관) 최대2시간",10000원(2시간기준),10명 ~ 40명
105,58,서울청년센터 은평 오랑_빌려방C,월~금 10:00-21:00 / 토 10:00-17:00 2시간기준,5000원(2시간기준),1명 ~ 8명
106,58,서울청년센터 은평 오랑_빌려방A,월~금 10:00-21:00 / 토 10:00-17:00 2시간기준,5000원(2시간기준),1명 ~ 10명
107,59,피앤티스퀘어 스터디룸,"평일, 공휴일, 토요일 09시~22시/일요일 9시~20시",무료,"스터디룸 12인실 1개, 8인실 3개, 6인실 5개 보유"
108,60,파고다 내일캠퍼스,9~20시(최대3시간),무료,최소2명~최대6명
110,62,종로여성인력개발센터 청년라운지,"월~금, AM 09:00 ~ PM 18:00 (최대3시간)",무료,1인석
111,62,종로여성인력개발센터 온라인스튜디오A,"월~금, AM 09:00 ~ PM 18:00 (최대3시간)",무료,1인석
112,62,종로여성인력개발센터 청년 다용도룸,"월~금, AM 09:00 ~ PM 18:00 (최대3시간)",무료,2~4명
113,62,종로여성인력개발센터 그래서 청년서가,"월~금, AM 09:00 ~ PM 18:00 (최대3시간)",무료,2명
114,62,종로여성인력개발센터 청년일자리카페,"평일(월, 금 / 09:00~17:00) *단, 화 13:00~17:00 1:1상담 진행으로 대관불가 (최대3시간이용)",무료,최소 3명~최대 8명
115,63,청년재단 스터디룸(303호),평일 09시~21시,무료,최대 1~4인 수용가능
116,63,청년재단 스터디룸(502호),평일 09시~21시,무료,최대 1~4인 수용가능
117,63,청년재단 상담실Ⅰ,평일 09시~21시,무료,최대 1~2인 수용가능
118,63,청년재단 상담실Ⅱ,평일 09시~21시,무료,최대 1~2인 수용가능
119,64,서울시 청년일자리센터 세미나룸,공간이용 월~금 09~21시/ 토 09~18시,무료,20~25석규모
120,64,서울시 청년일자리센터 스터디룸,공간이용 월~금 09~21시/ 토 09~18시,무료,"6인 그룹스터디룸, 2인 스터디룸, 개인 스터디공간"
121,65,서울시립청소년문화교류센터(미지센터) 스터디룸,"월요일~토요일 10:00 ~ 20:30 ,일요일 및 공휴일 10:00 ~ 17:30",무료,4인
122,65,서울시립청소년문화교류센터(미지센터) 세미나실 나눔,"월요일~토요일 10:00 ~ 20:30 ,일요일 및 공휴일 10:00 ~ 17:30",무료,최대40명
123,65,서울시립청소년문화교류센터(미지센터) 모임터 다름,"월요일~토요일 10:00 ~ 20:30 ,일요일 및 공휴일 10:00 ~ 17:30",무료,최대14명
124,65,서울시립청소년문화교류센터(미지센터) 모임터 공존,"월요일~토요일 10:00 ~ 20:30 ,일요일 및 공휴일 10:00 ~ 17:30",무료,최대14명
125,65,서울시립청소년문화교류센터(미지센터) 모임터 비채(좌석),"월요일~토요일 10:00 ~ 20:30 ,일요일 및 공휴일 10:00 ~ 17:30",무료,최대10명
126,66,서일대학교 Job카페 스터디룸,학기중 : 09시~22시/방학 중 : 10시~17시,무료,4인 이상~ 12인 이하
127,68,가평문화창작공간 얼쑤공장_다목적실,평일(월~금) 09:00 ~ 18:00 ,무료,-
128,68,가평문화창작공간 얼쑤공장_연습실,평일(월~금) 09:00 ~ 18:00 ,무료,-
129,69,토당청소년수련관_1층 공연장,"평일 11:00~20:00, 토요일 11:00~15:00",무료,286
130,69,토당청소년수련관_2층 강의실,"평일 11:00~20:00, 토요일 11:00~15:00",무료,50
131,69,토당청소년수련관_강의(프로그램)실,"평일 11:00~20:00, 토요일 11:00~15:00",무료,15명내외
132,70,28청춘 창업소(청년 창업공간)_3D 프린터,평일 09:00 ~ 18:00 (1시간~6시간),무료,-
133,70,29청춘 창업소(청년 창업공간)_시제품촬영실,평일 09:00 ~ 18:00 (1시간~6시간),무료,-
134,71,청취다방 기똥차룸,월 ~금 10:00~18:00,무료,1~4명
135,71,청취다방 활기차룸,월 ~금 10:00~18:01,무료,1~4명 
136,71,청취다방 아이스룸,월 ~금 10:00~18:02,무료,2~10명
137,71,청취다방 바닐라룸,월 ~금 10:00~18:03,무료,2~10명
138,71,청취다방 라떼룸,월 ~금 10:00~18:04,무료,2~10명
139,71,청취다방 뜨아룸,월 ~금 10:00~18:05,무료,2~10명
140,72,구리시청년창업지원센터 공유오피스,평일(월~금) 09:30~21:00 토요일 09:30~18:00,무료,40명
141,72,구리시청년창업지원센터 코워킹 스페이스,평일(월~금) 09:30~21:00 토요일 09:30~18:00,무료,20명
142,72,구리시청년창업지원센터 교육실,평일(월~금) 09:30~21:00 토요일 09:30~18:00,무료,30명
143,72,구리시청년창업지원센터 회의실,평일(월~금) 09:30~21:00 토요일 09:30~18:00,무료,6명~10명
144,72,구리시청년창업지원센터 메이커 스페이스,평일(월~금) 09:30~21:00 토요일 09:30~18:00,무료,8명
145,72,구리시청년창업지원센터 크리에이터 스튜디오,평일(월~금) 09:30~21:00 토요일 09:30~18:00,무료,20명
146,72,구리시청년창업지원센터 옥상공원,평일(월~금) 09:30~21:00 토요일 09:30~18:00,무료,50명
147,73,수리산상상마을 대강당,평일(월~금) 09:00~21:00 토요일 09:00~18:00,무료,80석
148,73,수리산상상마을 1인 미디어실,평일(월~금) 09:00~21:00 토요일 09:00~18:00,무료,-
149,73,수리산상상마을 디지털플랫폼,평일(월~금) 09:00~21:00 토요일 09:00~18:00,무료,8명
150,75,과천시 청년공간 비행지구 청년지구,월화목금 10:00~21:00 / 수 10:00~18:00/ 토요일 10:00~16:00 (1~3시간),무료,25명
151,75,과천시 청년공간 비행지구 비상지구,월화목금 10:00~21:00 / 수 10:00~18:00/ 토요일 10:00~16:00 (1~3시간),무료,12명
152,75,과천시 청년공간 비행지구 공유지구,월화목금 10:00~21:00 / 수 10:00~18:00/ 토요일 10:00~16:00 (1~3시간),무료,8명
153,75,과천시 청년공간 비행지구 자유지구,월화목금 10:00~21:00 / 수 10:00~18:00/ 토요일 10:00~16:00 (1~3시간),무료,12명
154,75,과천시 청년공간 비행지구 꿈의지구,월화목금 10:00~21:00 / 수 10:00~18:00/ 토요일 10:00~16:00 (1~3시간),무료,10명
155,76,광명시 청년동 회의실 1~3,화요일 - 토요일 : 09:00 - 22:00 일요일 : 09:00 - 18:00,무료,6명 ~12명
156,76,광명시 청년동 다목적실 1~2,화요일 - 토요일 : 09:00 - 22:00 일요일 : 09:00 - 18:00,무료,5명
157,76,광명시 청년동 문화홀,화요일 - 토요일 : 09:00 - 22:00 일요일 : 09:00 - 18:00,무료,50명
158,76,광명시 청년동 개인연습실1,화요일 - 토요일 : 09:00 - 22:00 일요일 : 09:00 - 18:00,무료,2명
159,76,광명시 청년동 개인연습실2,화요일 - 토요일 : 09:00 - 22:00 일요일 : 09:00 - 18:00,무료,2명
160,76,광명시 청년동 밴드실1~2,화요일 - 토요일 : 09:00 - 22:00 일요일 : 09:00 - 18:00,무료,6명
161,76,광명시 청년동 미디어&녹음실,화요일 - 토요일 : 09:00 - 22:00 일요일 : 09:00 - 18:00,무료,6명
162,77,광명도서관 메이커스페이스 공유공간,"월~목 09:00~20:00, 토~일 09:00~17:00 (금요일 및 공휴일 휴무) (30분)",무료,-
163,77,광명도서관 메이커스페이스 교육장,"월~목 09:00~20:00, 토~일 09:00~17:00 (금요일 및 공휴일 휴무) (1시간)",무료,-
164,77,광명도서관 메이커스페이스 장비실,"월~목 09:00~20:00, 토~일 09:00~17:00 (금요일 및 공휴일 휴무) (1시간)",무료,-
165,77,광명도서관 메이커스페이스 섬유재단실,"월~목 09:00~20:00, 토~일 09:00~17:00 (금요일 및 공휴일 휴무) (1시간)",무료,-
166,77,광명도서관 메이커스페이스 1인미디어 및 편집실,"월~목 09:00~20:00, 토~일 09:00~17:00 (금요일 및 공휴일 휴무)  (30분~4시간)",무료,-
167,77,광명도서관 메이커스페이스 미팅룸,"월~목 09:00~20:00, 토~일 09:00~17:00 (금요일 및 공휴일 휴무) (30분~2시간)",무료,-
168,78,광명시창업지원센터 청년창업지원센터 Partner office (2F 회의실),평일 09:00~18:00,무료, 4명~8명
169,78,광명시창업지원센터 청년창업지원센터 Conference room (2F 회의실),평일 09:00~18:00,무료,4명~10명
170,78,광명시창업지원센터 청년창업지원센터 Self studio (2F 셀프 스튜디오),평일 09:00~18:00,무료,-
171,78,광명시창업지원센터 청년창업지원센터Meeting room A (2F 미팅룸),평일 09:00~18:00,무료,4명
172,78,광명시창업지원센터 청년창업지원센터 Meeting room B (2F 미팅룸),평일 09:00~18:00,무료,4명
173,80,더 누림 플랫폼 - 창업누림 라운지,평일(월~금) 10:00~17:00,무료,10명
174,80,더 누림 플랫폼 - 창업누림 세미나실,평일(월~금) 10:00~17:00,무료,24명
175,80,더 누림 플랫폼 - 창업누림 공용사무실,평일(월~금) 10:00~17:00,무료,12명
176,81,더 누림 플랫폼 소통누림(라운지),평일(월~금) 10:00~17:00,무료,30명
177,81,더 누림 플랫폼 대화누림(상담실),평일(월~금) 10:00~17:00,무료,9명
178,81,더 누림 플랫폼 생각누림1(회의실),평일(월~금) 10:00~17:00,무료,14명
179,81,더 누림 플랫폼 생각누림2(강의실),평일(월~금) 10:00~17:00,무료,16명
180,81,더 누림 플랫폼 함께누림(다목적실),평일(월~금) 10:00~17:00,무료,24명
181,81,더 누림 플랫폼 문화누림(미디어실),평일(월~금) 10:00~17:00,무료,4명
182,82,김포청년공간 창공 구래청년지원센터 소모임실,"월~금 오전 9시 ~ 오후 9시, 토요일 오전 10시 ~ 오후 8시",무료,최소 3명
183,82,김포청년공간 창공 구래청년지원센터 교육실,"월~금 오전 9시 ~ 오후 9시, 토요일 오전 10시 ~ 오후 8시",무료,-
184,83,김포청년공간 창공 사우청년지원센터 오픈스페이스,"월~금 오전 9시 ~ 오후 9시, 토요일 오전 10시 ~ 오후 8시",무료,24명
185,83,김포청년공간 창공 사우청년지원센터 코워킹스페이스,"월~금 오전 9시 ~ 오후 9시, 토요일 오전 10시 ~ 오후 8시",무료,6명
186,83,김포청년공간 창공 사우청년지원센터 알파룸,"월~금 오전 9시 ~ 오후 9시, 토요일 오전 10시 ~ 오후 8시",무료,4명
187,86,동두천시 청소년수련관 공연장,화요일~금요일 10시~21시 / 토요일 10시~18시,일반 : 80000(3시간) 청소년 :40000(3시간),170명
188,86,동두천시 청소년수련관 댄스연습실,화요일~금요일 10시~21시 / 토요일 10시~19시,일반 : 20000(3시간) 청소년 :무료(4시간),-
189,86,동두천시 청소년수련관 음악연습실 1~2,화요일~금요일 10시~21시 / 토요일 10시~20시,일반 : 20000(3시간) 청소년 :무료(4시간),-
190,86,동두천시 청소년수련관 체육관,화요일~금요일 10시~21시 / 토요일 10시~21시,일반 - 주간 : 40000 야간 : 50000 1일 : 70000 청소년 - 주간 : 20000 야간 : 25000 1일 : 35000,-
191,86,동두천시 청소년수련관 청소년놀이공간,화요일~금요일 10시~21시 / 토요일 10시~22시,무료,-
192,86,동두천시 청소년수련관 프로그램실 1~3,화요일~금요일 10시~21시 / 토요일 10시~23시,무료,-
193,86,동두천시 청소년수련관 동아리실1~4,화요일~금요일 10시~21시 / 토요일 10시~24시,무료,-
194,88,부천시평생학습센터 고강시민학습원 공유공간,월~토요일 10:00~17:00,무료,20~50명
195,89,부천시평생학습센터 부천시민학습원 공유공간,월~토요일 10:00~17:00,무료,10~60명
196,89,부천시평생학습센터 부천시민학습원 e-스튜디오,월~토요일 10:00~17:00,무료,-
197,90,부천시평생학습센터 송내시민학습원 공유공간,월~토요일 10:00~17:00,무료,20~70명
198,91,부천IOT혁신센터 컨퍼런스룸(대회의실),월~금 - 09:00 ~ 18:00 ,"관내기업 : 20,000원(VAT별도)
관외기업 : 50,000원(VAT별도)
비영리기관 : 10,000원(VAT별도)
공공기관 : 무료",50명
199,91,부천IOT혁신센터 세미나실(미팅룸1),월~금 - 09:00 ~ 18:00 ,"관내기업 : 20,000원(VAT별도)
관외기업 : 50,000원(VAT별도)
비영리기관 : 10,000원(VAT별도)
공공기관 : 무료",20명
200,91,부천IOT혁신센터 미팅룸 2~4,월~금 - 09:00 ~ 18:00 ,무료,4명
201,91,부천IOT혁신센터 미팅룸 4,월~금 - 09:00 ~ 18:00 ,무료,8명
202,92,원미청정구역 열린학습공간,평일/주말 07:00~22:00,무료,100명
203,92,"원미청정구역 촌락1, 2",평일/주말 09:00~18:00 ,무료,24명
204,92,원미청정구역 오픈스튜디오,평일/주말 09:00~18:00 ,무료,2명
205,92,원미청정구역 인터뷰 룸,평일/주말 09:00~18:00 ,무료,3명
206,92,원미청정구역 공유부엌,평일/주말 09:00~18:00 ,무료,40명
207,92,원미청정구역 체험공간,평일/주말 09:00~18:00 ,무료,46명
208,93,고리울청소년센터 소강당,평일 10:00~21:00 / 토요일 10:00~20:00 / 일요일 10:00~18:00,무료,30명
209,93,고리울청소년센터 모임방,평일 10:00~21:00 / 토요일 10:00~20:00 / 일요일 10:00~18:00,무료,5~10명
210,93,고리울청소년센터 미디어센터,평일 10:00~21:00 / 토요일 10:00~20:00 / 일요일 10:00~18:00,무료,10명
211,93,고리울청소년센터 연습실,평일 10:00~21:00 / 토요일 10:00~20:00 / 일요일 10:00~18:00 (최대 4시간),무료,4~10명
212,100,성남일자리센터 세미나실,1타임 : 10:00~11:50 / 2타임 : 13:10~15:00 / 3타임 : 15:10~17:00,무료,10명
213,100,성남일자리센터 면접실,1타임 : 10:00~11:50 / 2타임 : 13:10~15:00 / 3타임 : 15:10~17:00,무료,1명
214,101,청년지원센터 '청년이 봄' 청년이봄,"평일 10시 ~ 21시, 토요일 10시 ~ 15시",무료,최대 10명
215,101,청년지원센터 '청년이 봄' 보고또봄,"평일 10시 ~ 21시, 토요일 10시 ~ 15시",무료,최대 30명
216,101,청년지원센터 '청년이 봄' 미디어실,"평일 10시 ~ 21시, 토요일 10시 ~ 15시",무료,-
217,102,판교역 창업카페 로봇카페,평일 : 09:00~21:00,무료,-
218,102,판교역 창업카페 미팅룸,평일 : 09:00~21:00,무료,-
