REVIEW_NUM,CENTER_ID,MEMBER_ID,REVIEW_CONTENT,REVIEW_RATE
1,1,1,"홈페이지에 표시된 이용 가능 시간,기간 등 정보가 실제 이용 정보와 달라 전화 문의를 상세하게 드려야 했고, 청년 공간임에도 동시에 업무 공간이기에 다른 기관들 및 내부 회의 등 일정에 따라 3시간마다 자리를 비워드려야 한다는 부분에서 친구를 만나기 전 잠시 쉬는 용도 외에 실질적인 취업 카페로써의 이용이 불가능한 공간이었습니다. 안내주신 분은 친절했습니다 :)",
2,1,1,"업무 공간을 빌려 쓰는 개념의 공간이라, 이용 중 12시~1시는 점심시간이라 밖에 나가있어야 합니다. 월/금은 오후만 이용 가능, 화요일은 이용이 안됩니다. 예약을 원하면 반드시 이용 전날까지 전화 문의 후 열어주신 예약 창구로 승인을 받아 이용 가능합니다. 홈페이지에 기재된 모든 공간은 이용 시간이 3시간 제한이며, 그 이후는 추가 방문객/외부 기관/기관 내 회의 일정에 따라 비워드려야 합니다. (2023년 2월 1일 기준)",
3,1,1,"선생님 저 저번에 폰안들고가서, 강의 후 설문조사 못한 사람인데요 (출석체크랑). 설문조사 문자로 왜 안보내주시나요 보내주세요 설문조사하게.",
4,1,1,자기소개서 특강을 듣기위해 LH 강남권마이홈센터에 방문하게 되었습니다. 자기소개서를 쓰는 방법과 강사님의 개별 코칭으로 자기소개서를 어떻게 써야하는가에대한 구체적인 방향을 찾을 수 있는 좋은 시간이었습니다. LH 강남권 마이홈센터도 추후에 다른 좋은 특강을 듣거나 스터디룸을 이용하기위해 방문하기 좋은 장소인거 같습니다. 감사합니다.,
5,1,1,면접에 자신감을 얻고 싶어 강의에 참여하게 되었습니다. 강의 내용이 흥미롭고 실용적이어서 많은 도움이 되었습니다. 특히 강사님께서 수강생들의 자기소개를 듣고 개인별로 코멘트를 해주셔서 매우 유익했습니다. 좋은 기회를 주셔서 감사합니다!,
6,1,1,"면접과 자기소개에 대해 처음으로 배워보았는데, 참신하고 유익했던 강의였고 앞으로 어떻게 준비해야 할지에 대해 많은 도움이 되었습니다. 좋은 강의를 무료로, 또 좋은 위치에서 접할 수 있는 기회였습니다.",
7,1,1,면접에 대한 팁을 얻고 싶어 자기소개 스피치 특강을 듣기 위해 LH강남권마이홈센터에 방문하게 되었습니다. 특강강사님이 한분한분 자기소개를 들어보고 직접 교정해주셔서 면접준비에 큰 도움이 되었습니다. 마이홈센터도 위치도 좋고 이용하기 편해서 자주 방문할 것 같습니다. 좋은 기회주셔서 감사합니다.,
8,1,1,"1분 자기소개 스피치를 배우기 위해 LH강남권마이홈센터에 방문하게 되었습니다. 무료로 제공받는 컨설팅이다 보니 크게 기대하지 않았는데, 강사님의 강의가 정말 유익하고 도움이 많이 되었습니다. 뿐만 아니라 마이홈센터라는 장소에 대해 알게되어 좋았습니다. 추후에도 취업 준비를 하며 스터디룸이라든지, 다른 목적으로도 방문하기 좋은 장소인 것 같습니다.",
9,1,1,좋은 기회에 좋은 강사님과 함께 스피치 강의를 들을 수 있어서 좋았습니다. 선릉역 바로 앞이라 위치도 좋고 스터디룸도 무료로 이용할 수 있어서 앞으로 자주 애용할 수 있을것 같습니다 감사합니다.,
10,1,1,면접스터디를 준비하며 스터디카페를 알아보다가 서울시에서 취업청년들을 위해 무료로 스터디룸을 제공한다는것을 알았습니다. 무료여서 기대안하고갔었는데 돈내고 가는 스터디카페 못지않게 깨끗하고 조용했습니다. 관계자분께서도 물과 차마실 수있다는 안내도 해주시고 친절하셔서 기분좋게 스터디하고왔어요. 기회가 된다면 또 이용하고 싶어요.,
11,1,1,공기업 취업에 대해 관심은 많았지만 어떤 방법으로 준비해 나가야 할지 막막했습니다. 그런데 LH강남권마이홈센터에서 소중한 기회를 주셔서 공기업 취업전략 설명회에 참여할 수 있게 되었습니다. 강사님으로부터 체계적이고 현실적인 조언들을 들을 수 있어 취업 준비 과정의 막연함이 사라지고 목표를 다질 수 있었던 매우 뜻깊은 시간이었습니다. 앞으로도 이러한 기회가 있으면 꼭 참여하고 싶습니다!,
12,1,1,"LH강남권마이홈센터에서 좋은 기회가 있어 처음으로 공기업취업전략 설명회에 참여하게 되었습니다. 막막하게 생각했던 공기업 취업 준비에 대해 강사님께서 명쾌하게 설명해주시고 응원해주셔서, 앞으로 어떤 준비를 한 단계씩 해나가야 할지 뚜렷해지는 시간이었습니다. 시설도 쾌적하고, 자유롭게 이용가능한 공간이 있어서 스터디 모임이나 혼자 공부할 때도 유용한 공간이 될 것 같습니다.",
13,1,1,와 강사님이 너무 재미있으셨고 공기업에 대한 정보들을 많이 알아가는것 같아서 좋았습니다.@@,
14,1,1,공기업취업전략설명회를 듣기 위해 LH강남권마이홈센터에 방문하게 됐습니다. 아직 대학생이라 공기업 취업에 대해 정확히 알지 못했는데 이번 기회를 통해 구체적인 방향을 설정해 계획을 세울 수 있었습니다. LH강남권 마이홈센터도 위치도 좋고 스터디룸도 무료로 이용할 수 있어 정말 유용할꺼 같슺니다. 앞으로도 이런 기회가 많아 자주 참여할 수 있으면 좋겠습니다. 설명회 감사합니다!,
15,1,1,LH강남권마이홈센터에서 열린 공기업 취업전략 설명회에 참여하였습니다. 공기업을 준비하는 입장에서 막막했던 게 사실입니다. 하지만 이번 설명회를 통해 준비 시 가이드라인과 여러 팁들을 알려주셔서 방향성을 잡는데 도움이 되었습니다. 강남권마이홈센터가 서울시취업카페인지 몰랐는데 위치와 시설이 좋아서 앞으로 다른 설명회나 기회가 있으면 참여하기 좋을 것 갔습니다.,
16,3,0,좋아요,
17,3,0,좋아용!,
18,3,0,주말에 아이와 가기 좋아요~~ 크로플도 음료도 맛있어요 ~~,
19,3,0,책이 많아요,
20,3,0,좃아요,
21,3,0,야외주차장 경차 할인시 호출 하세요!,
22,3,0,배울게 많아요,
23,3,0,ㅎㅎ,
24,3,0,새로 리모델링해서 정말좋아요,
25,3,0,굿굿ㅅ,
26,3,0,좋아용,
27,3,0,굿,
28,3,0,굿,
29,3,0,친절,
30,3,0,시원해요,
31,3,0,시원해요,
32,3,0,좋아요,
33,3,0,편리해요,
34,3,0,좋아요,
35,3,0,굳,
36,3,0,굿,
37,3,0,굿,
38,3,0,좋아요,
39,3,0,굿,
40,3,0,좋아요,
41,3,0,좋아요,
42,3,0,굿,
43,3,0,좋아요,
44,3,0,굿,
45,3,0,굿,
46,3,0,좋아요,
47,3,0,근처에 편의시설이 좀 들어왔으면 좋겠네요,4.5
48,3,0,주차장 유료화. 도서관 굿,4.5
49,3,0,좋아요,5
50,3,0,좋아요,3.5
51,5,0,좋네요,5
52,6,1,작년 8월에 취업상담을 여기서 받았는데 커피랑 도서관 안락하고 위치도 좋아 매우 좋습니다. 편안한 환경에서 상담받으니까 조명?이 좋아서 그런지 마음이 안정된것 같고 취업에 관련된 많은 고민을 털어 놓으면 안심이 되어 매우 좋습니다. 고민하지 마시고 신청해보세요... 취준생 입장에서 굉장히 좋습니다 ^^,
53,6,1,커피랑도서관에서 ‘원하는 강의개설’ 신청 해서 두시부터 면접컨설팅과 모의면접도 진행했습니다. 진지하게 임하면서 대답하는데 같이 프로그램 관리하시는? 직원분이 같이 앉아서 저희 태도나 대답이 웃겼는지 바로앞에서대놓고 피식피식 비웃으시더리고요...? 강사분이랑 같이 그러시기도 하고..순간 뭐하자는건가 눈과 귀를 의심했습니다..ㅋㅋㅋ 어리다고 쉽게 생각하신건지 최소한의 예의에 대한 개념이 없어보이셨어요,
54,7,1,"이력서 클리닉 다녀왔습니다. 사실 별 기대 안하고 갔는데, 생각보다 도움이 많이 되었던 것 같아서 좋았습니다~ 역에서 내려서 바로여서 편하고 시설도 사진보다 좋고 깨끗했습니다ㅎㅎ",
55,7,0,굿,
56,7,0,"상담해주시는분 너무친절해서 좋았습니다.
역이랑도 가까워요~^^",
57,7,0,교통편이 편해서 좋음,
58,7,0,시설이 깨끗하고 좋아요. 신림역 바로 앞이예요.,
59,7,0,왕친절,
60,9,1,2021.05.25 15:00 ~ 16:00 [온라인] 모의면접: 실무 & 임원면접 온라인(Zoom 프로그램) 진행 신청했었는데 관련한 링크도 안 오고 강의에 적혀져 있는 연락처로 전화해도 안 받아서 수강을 못했어요. 노쇼처리 하지 말아주세요 ㅠㅠ,
61,9,1,처음으로 프로그램 신청하고 자소서 클리닉 및 면접 코칭을 받았습니다. 상담사님이 면접 답변시에 저의 문제점이 무엇인지 코치해 주셔서 이번 기회를 통해 확실하게 알 수 있었고 많은 면접 관련 자료도 주셔서 많은 도움이 되었습니다. 반면 다소 상담 시간이 짧아서 아쉬웠습니다. 다음번에도 신청 기회가 생긴다면 좀 더 코칭받을 수 있었으면 좋겠습니다 감사합니다.,
62,9,1,"1:1 취업 상담 이용했습니다. 면접 관련 상담을 하였는데 지도해주시는 분이 제가 지원한 기업에 대한 면접 기출질문, 최근 이슈와 같은 것을 조사해 오시는 세밀함에 정말 놀랐습니다. 또한, 제 태도라던가 면접관의 입장에서 지원자를 관심있게 보는 요소를 객관적으로 말씀해주셔서 많은 도움이 되었습니다.",
63,13,1,"이 시설은 '청년'들이 본인들의 꿈을 위해 자유롭게 사용하는 공간인데, 주말 저녁만 되면 초등학생, 중학생들이 여럿이 모여 과외선생님과 같이 공부하는 모습을 볼 수 있습니다.. 좋은 취지로 진행하시는 건 알겠으나, 어린 아이들이라 심한 잡담과 뛰어다니는 등의 행동을 보입니다. 개선해 주셨으면 합니다.",
64,13,1,"얼마 전 청춘삘딩에서 일자리카페 정선기선생님께 1:1면접 컨설팅을 받고 지원한 회사에 최종합격했습니다. 선생님께서 말씀해주신 것처럼 대표님의 말씀을 눈여겨보고, 회사의 미션과 질문 핵심의도를 파악하려 노력한 것이 큰 도움이 되었습니다. 면접 경험이 적었던 제게 친절하게 방향을 설정해주시고, 긍정적인 힘을 주셔서 정말 감사드립니다. 또 오프라인컨설팅을 가능하게 자리를 마련해 주신 청춘삘딩에도 감사드립니다.",
65,14,1,스터디북킹에서 김푸름강사님의 퍼스널컬러 강의를 들었는데 어떤 강의보다 더 와닿고 강의 시간이 전혀 지루하지 않았고 재밌었습니다. 기회가 있으면 또 듣고싶습니다. 은평구에서두 했으면 좋겠습니다.,
66,14,1,"세미나룸 이용했는데 환경도 쾌적하고 좋았습니다! 다만 아쉬운 점은 세미나룸 이용시 인원에 대한 기준치가 있는데 인원이 부족하면 벌금을 물더라구요. 벌금제도를 무는 것에 대해 예약시 주의 사항란에 명시해 두었으면 좋겠습니다. 벌금제도와 관련한 것만 없더라구요ㅠㅠ가장 중요한 부분인데.. 인당, 시간당 얼마인지 정확히 벌금에 대해 예약 전 미리 명시해두면 정말 좋을것같아요~!",
67,21,1,이용 관련 문의 드립니다. 예약은 반드시 2주전에 해야하는건가요? 2일 후 예약 가능 자리가 있어서 예약 신청하였는데 해당 주의사항을 예약 후에 보게 되어 문의 드립니다.,
68,21,1,남들은 자소서 첨삭을 받고 있는데 정작 내가 어떤 일을 하고싶은지도 모르겠더라구요. 분명 경험과 스펙은 많이 쌓았는데 정작 어디로 취업해야할 지 도저히 답이 안나와 스스로도 답답했는데 서울시 일자리카페 프로그램을 알게되어 1:1 진로상담을 신청했습니다. 말씀드리기도 부끄러웠지만 선생님께서 정말정말 처음부터 끝까지 너무 잘 들어주시고 친절하게 조언해주셔서 그 방향으로 준비 중입니다. 정말 감사합니다!,
69,21,1,안녕하세요 면접준비로 스터디원들이랑 장소를 구하고자 스터디룸을 예약하려고 들어왔는데 내년까지도 계속 예약불가라고 되어있어서 다른 방식으로 스터디룸을 예약해야하는지 알고싶습니다.,
70,21,1,"금액을 지불하고 이용했었는데 화장실의 개선이 필요하다고 생각합니다. 옆에 카페랑 공용으로 사용해서 그런지 가는길부터 화장실 내부까지 거미줄과 불청결한 점 때문에 재방문 의사가 사라집니다,,,",
71,21,1,"안녕하세요. 루키즈캠퍼스 재키, 샐리 컨설턴트님께 감사의 말씀을 전하고자 남깁니다. 어제 최종합격 했다는 소식을 들었습니다. 면접때 컨설턴트님들께서 계속 물어보시고, 생각할 거리를 던져주셨던 지원동기 관련 질문을 3번이나 받았습니다. 당연한 것이라고 생각해 철저히 준비하지 않았었는데, 사소한 부분까지 계속 피드백주시고 마지막까지 연습시켜주셔서 합격한 것 같습니다. 진심으로 감사드립니다!",
72,21,1,"루키즈 캠퍼스의 면접관련 컨설팅을 지금까지 3번 참여하였습니다. 20분이라는 짧은 시간에도 불구하고, 제가 부족한 부분들을 정확히 짚어주시고 어떻게 개선하면 좋을지에 대해 구체적인 피드백을 주셔서 정말 많은 도움이 되었습니다. 수정을 거듭한 결과 면접답안이 훨씬 깔끔하게 정리된 것 같습니다. 진심으로 감사드립니다!",
73,21,1,루키즈 캠퍼스 재키 컨설턴트님의 외국계 기업 취업전략 & 영문이력서 작성법 강의를 들었습니다. 이력서 작성 팁과 역량 어필 방법을 배울 수 있었고 각자의 상황에 맞는 조언을 해주셨습니다. 또한 궁금한 것 하나하나 자세히 알려주셔서 앞으로의 준비 방향을 알 수 있어 좋았습니다.,
74,21,1,예약이 안되네요,
75,22,0,친절해요,
76,22,1,6월 2일이나 3일 정도에 청년을 위한 공간에서 캠페인 활동을 진행해야 하는데 잠시 1-2시간 정도 캠페인 활동을 할 수 있게끔 양해를 구하고 캠페인 활동을 진행을 하고 싶은데 문의는 전화로 드리면 될까요?,
77,22,1,스터디룸 예약 취소하려고 하는데 어떻게 해야하나요? 찾아도 안 보이네요..ㅠ,
78,22,1,안녕하세요. 12월은 아직 예약 불가한가요? 언제 가능한가요?,
79,22,1,여긴 전화를 안받네요 휴관여부 공지라도 해주셔야되는거 아닙니까...,
80,22,1,전화받는분 불친절합니다,
81,22,1,이용시간 12~15시/15시~18시만 가능하다고 합니다. 저 시간 아니면 예약이 불가하니 취소하라는 연락을 이틀 전에 받았습니다. 이럴거면 담당자가 예약 확인하는 과정은 왜 있는건지...,
82,22,1,"현재 스터디룸 이용하고 있는 학생입니다. 공간도 넓어서 공부하기 좋은 환경이고, 최근에는 워터초크 칠판을 설치해서 매우 유용하게 사용하고 있습니다. 감사합니다 ㅎㅎ",
83,22,1,"취업상담 알아보다 취업관련 프로그램을 알게 되어 사랑밭청년센터를 이용하게 되었습니다. 취업으로 걱정이 많았는데 상담사분께서 이력서, 면접 등 전반적으로 꼼꼼히 잘 설명해주시고 지도해주셔서 매우 도움이 되었습니다. 격려도 해주시고^^ 센터에 계시는 담당자분들도 매우 친절하시구 ^^ 시설도 분위기도 매우 좋습니다. 집 가까운 곳에 청년을 위한 공간있어 너무 좋네요 ㅎ 감사해요. 뿅~~!",
84,22,1,시원하고 아늑한 느낌이였고 조용조용하니 분위기가 너무 맘에 들었습니다. ^-^ 키오스크도 있고~ 다 갖춰져 있네요 ㅎㅎ 상담쌤도 친절하시고 꼼꼼히 봐주셔서 넘 좋네용 ㅎㅎㅎㅎ,
85,22,1,룸도 넓고 개별방 에어컨도 있고 좋았어요!,
86,24,0,"돌체라떼 3,000원 구입(500원 할인 받음)
📣kb페이 결제 or kb스타뱅크 가입(청춘마루 회원)이면 500원 할인 가능해요!

저렴하고 맛있는 음료 가격에 보드게임까지 즐길 수 있음!! 각종 이벤트도 상시 진행 중~~",
87,24,0,"홍대입구 부근에 이런 멋진 공간이 있다니! 깔끔, 귀여움, 도심 속 쉼의 공간... 앞으로도 자주 이용하게 될 것 같네요.",
88,24,0,이런 곳을 무료로 이용할 수 있다니 너무 좋아요~~당장 프사 바꿔야겠네용ㅎㅎ,
89,24,0,"직원분 친절하시고, 스튜디오 깔끔!
딸 사진 이쁘게 잘 찍었어요! 강추!
많이 찍었는데, 제가 고른 한컷 리뷰에 올려요♡

소품으로 모자, 안경, 꽃, 1인의자, 2~3인용 의자 있습니다!
무료라니! 정말 대박이죠?

배경도 여러가지 있던데, 깔끔하게 찍고싶어서 변경 안했어요.
직원분께 요청하면 가능한걸로 알아요!",
90,24,0,쉬다가기 좋아요 저렴하고요!,
91,24,0,"같은 시간에 세미나실을 사용하던 다른 팀이 시끄러워서 아쉬웠지만, 깔끔한 공간에서 독서모임을 진행하기에 너무 좋았습니다! 또 이용할 것 같아요.",
92,26,0,"전화 응대부터 불친절, 질문하기도 전에 저희가 하는거 아닌데여, 여기에 물어봐도 몰라요 시전 ㅋㅋㅋ 괜히 기분나빠지지 않길바라는 마음에 글씁니다^^ 좋은 세상에서 살아요 우리, 전화응대자분 뺴고요",
93,26,0,친절하고 좋아요 감사합니다.,
94,36,1,도착하니 예약 동시간대에 특강이 이미 진행중이라 특강하는곳 구석 빈자리에 하라고 하더군요. 2층에 공간이 있지 않냐고 하니까 2층 스터디룸은 예약자들의 사용이 험해서 막아놨다고 합니다. 게다가 1층은 전체공간이 협소하고 시끄러워 도저히 이용이 불가능할 것 같아서 결국 스터디를 허탕치고 왔습니다. 차라리 동시간대에 특강이 있으면 예약을 막아놓았으면 합니다.,
95,37,1,"6/5 입사서류 클리닉을 받으러 방문하였는데, 카페에 일하고 계신 분들께서 친절한 응대와 일자리카페 전용 공간을 안내 해 주셔서 처음 방문이었는데도 어려움 없이 프로그램 서비스를 받을 수 있었습니다. 감사합니다!!",
96,37,1,안녕하세요! 스터디룸 예약이 11월에 예약불가인 회색칸으로 가득해서 문의 남깁니다. 현재도 스터디룸은 운영하지 않고 있나요?? *오늘도 좋은 하루되시길 바랍니다:)*,
97,51,1,전문성 있는 컨설팅으로 부족한 부분을 알게 되어서 좋았습니다.,
98,51,1,양천도서관 옆 사경센터 3층에 있어서 처음에 찾을땐 어려웠지만 넓고 쾌적해서 이용하기 편리합니다.,
99,53,1,선생님 덕분에 원하는 곳으로 이직합니다. 합격 연락받구 신체검사까지 받았습니다. 이제 7일 출근하기전에 송도쪽 집 알아보는 중입니다. 감사합니다 :),
100,53,1,"저는 약 2주전에 이력서 첨삭을 받았어요. 상담사분이 나이있으신 여성분인데, 요즘 취업시장이나 기업 직무에 대해 저보다 모르시는 것 같았어요.맞춤법(..)위주로 거의 봐주시더라구요. 학생이라고 은근슬쩍 말 놓으시고, 압박면접처럼 좀 말꼬리 잡으시고.. 기분 나쁜 말투로 하시더라구요. 처음 봤는데 왜 그러시지? 싶었어요. 차라리 현직자 분께 첨삭을 받으시거나, 4년제 대학생이시면 학교 취업센터 도움 받으세요. 제발.",
101,53,1,저 여기서 두차례 무료 영어취업수업 들었었는데요. 정말 도움 많이 받고 얼마되지 않았지만 현재 취업해서 즐거운 직장생활을 하고 있습니다! 면접준비도 잘 되었구 무료 음료까지 제공해 주셔서 감동백배! 더군다나 수업 시에 면접 전화가 왔다고 이야기 하니까 모두 박수쳐주시면서 힘내라고 응원해 주시고... 아.. 정말 눈물이...(잠깐 닦고 갈게요) 이런 좋은 수업 개최해 주셔서 정말 감사드려요ㅠ,
102,53,1,"	좋아요",
103,53,1,예약했는데.. 어떤 안내도없이 예약취소되었다고 문자가오네요.. 참으로 불친절..,
104,59,1,지금 예약가능한 날이 하나도 없는데 혹시 예약은 매주 무슨요일에 열리나요?,
105,59,1,취소기준이 뭔가요?설명도 없이 예약하면 그냥 취소인가요?,
106,59,1,승인이 왜 안나나요?,
107,59,1,"여기 분명 무료라고 해서 예약하고 갔습니다. 예약 되었다고 문자도 받았었구요... 근데 제가 좀 늦어서 먼저간분들이 확인해보니, 당일날 예약 안되어 있다고 했고, 요금도 지불 했습니다. 이번주에 다시가서 제가 얘기하니까 잘못계산된거라고 하더군요. 다시 안갔으면 몰랐을것 같네요. 서울시 일자리 카페라고 이름달고 하시면서 너무 안일하게 운영하시는거 아닌가요??",
108,59,1,"	안녕하세요 날짜 예약이 안 되는데요, 혹시 코로나 때문에 운영 안 하시는 건가요??",
109,59,1,"	안녕하세요, 11월달에 예약을 하고 싶은데 날짜 예약이 안되네요ㅠㅠ 혹시 코로나 때문에 이번 달에는 운영을 안하시나요?",
110,59,1,12월에는 예약이 불가능한가요?,
111,59,1,"안녕하세요, 12월 예약하고 싶은데 아직 예약이 안되는거같아요. 언제쯤 가능할까요 ?",
112,59,1,안녕하세요 혹시 4월 예약은 불가능한걸까요?,
113,59,1,지금 예약은 안되나봐요..?,
114,59,1,8월 예약 다 찬 건가요?,
115,59,1,지금예약불가한가요?,
116,59,1,"	5월은 예약이 불가능한걸까요?",
117,59,0,사장님이신지 알바인지는 모르겠는데 친절하시고 민트차가 좋았어요,
118,59,0,시간을 오버해서 써야 했는데 시간 조정 잘 해주시고 공간도 쾌적해서 좋았습니다.,
119,59,0,굿 저렴해요!,
120,59,0,깔끔하고 쾌적해요 근데 좀 춥네요,
121,59,0,깔끔하고 친절해요! 완전!,
122,59,0,"실습을 위해서 공간대여를 했는데요.
지하인데도 조용하고 분위기 좋고 괜찮았습니다.
종로에서 모임이 있게 되면 여기를 찾을께요^^",
123,59,0,지하2층이라 지하철 지나갈때 울림이.... 그리고 스터디룸 벽이 유리라서 카페소음 다 들려요ㅠㅠ 그것빼곤 쾌적하고 있을거다 있고 가격도 저렴하고 그래서 두번 갔습니당,
124,59,0,굿,
125,59,0,공간도 넉넉하고 방도 많아서 모임 잘 가졌습니다. 커피랑 같이 먹을 빵이나 쿠키 같은 것이 많았으면 더 좋았을텐데 쪼금 아쉬웠어요,
126,59,0,굿,
127,59,0,"혼자 조용하게 노트북작업을 하거나 회의나 모임때도 완전 좋습니다~
스터디룸 가격 너무 착하고 음료도 좋구요
강추합니다!",
128,59,0,"서울역회의식 2시간 4.5 인데
클라이언트와 미팅을 저렴하게 잘했어요
부장님들 이런 곳도 있냐며 신기해하셨음 ㅋㅋㅋ
다음에 또 이용 의사 58000%",
129,59,0,좋아욤,
130,59,0,공간 좋아요! 지하임에도 쾌적하고 방음 잘되고요!!굿,
131,59,0,관리가 잘 되어있어 깨끗합니다. 조용한 곳에서 스터디하거나 면접보실 분들께 강력하게 추천드려요~,
132,59,0,"깨끗하고 조용하고 좋았어요.
다음 모임도 예약할 생각입니다.",
133,59,0,"너무 좋았어요! 역이랑도 가깝고, 시설도 좋았어용
빔프가 좀 흐리게 보인다고 사장님께서 친절히 대형 티비도 갖다주셨습니다 ㅎㅎ
화장실도 깨끗하고 ㅡ, 정수기도 있고, 개별 냉난방 되고 책산, 공간 너비 등 대체로 모두 만족스러웠습니다~!
20인실 3시간 9만원에 대여했는데 12명이 쓰기에 넉넉한 공간이었어요 ㅎㅎ 추천합니다",
134,59,0,"넓찍하고
프라이빗하게 사용하기 좋아요",
135,59,0,저렴하고 좋네요 ㅎㅎ,
136,59,0,직원분 친절하시고 분위기 좋아요. 감각적인 인테리어도 굳!,
137,59,0,깔끔하고 넓어서 좋음,
138,59,0,굿,
139,59,0,깔끔하고 좋아요,
140,59,0,공간 조용하고 깨긋하고 좋아요 위치도 굿,
141,59,0,굿,
142,59,0,자주 이용하는데 넘 좋습니다,
143,59,0,깔끔하고 안정감 있는 분위기. 차분한 논의하기 좋은 공간이었어요.,
144,59,0,"친절하게 안내해주셨어요.
공간도 깔끔하고 모여서 작업하기도 좋은 곳이에요.
종로 근처 스터디카페로 추천합니다.",
145,59,0,ㄱ,
146,59,0,굿,
147,59,0,시간도.공간도 시설도 여유로울수 있어서 좋았습니다.,
148,59,0,조용하고 깔끔하고 스터디모임하기 너무 좋아요. 또 이용하겠습니다~,
149,59,0,깔끔하고 좋아요~,
150,59,0,아이좋아 최고~,
151,59,0,"종로3가역이라 교통의 요충지여서 모이기 좋은 위치입니다. 내부 시설 괜찮고, 외부음식 반입은 안되지만, 카페가 있어 주문해서 마실 수 있고, 정수기 물도 마실 수 있어요. 구비된 컴퓨터와 모니터로 따로 노트북 안가지고 가도 되어서 좋습니다.",
152,59,0,서울 중심가라 대중교통 이용해서 오기도 좋고 장소도 쾌적해서 매월 독서모임 하고 있어요,
153,59,0,주말에 고객님과 세무상담 하느라 2시간 이용했는데 쾌적했습니다. 다음에 또 이용할 것 같아요. 번창하세요~^^,
